"","id","roi","model","TR","var","LL"
"494",2,"EC_R","E",540,0.806665643572566,-708.21838339485
"495",2,"Hippo_L","E",540,0.105074193599353,-157.892893316437
"496",2,"Hippo_R","E",540,0.0409975495669275,96.2187968650194
"499",2,"mPFC","E",540,0.169598748769345,-287.160425969011
"501",3,"Amy_L","E",540,0.137613345880914,-230.733818631937
"502",3,"Amy_R","E",540,0.135744252109453,-227.041488974609
"503",3,"EC_L","E",540,0.950131028429982,-752.414855537035
"504",3,"EC_R","E",540,2.1379314164737,-971.383266038105
"505",3,"Hippo_L","E",540,0.05912940003046,-2.65951365934613
"506",3,"Hippo_R","E",540,0.0816832913124625,-89.9022390331234
"509",3,"mPFC","E",540,0.151327387044952,-256.383198910971
"511",4,"Amy_L","E",540,0.78063535289701,-699.362081245026
"512",4,"Amy_R","E",540,0.646926782837675,-648.635826088964
"513",4,"EC_L","E",540,1.83979335449155,-930.833187583072
"514",4,"EC_R","E",540,1.85368605145971,-932.864359526596
"515",4,"Hippo_L","E",540,0.240635860484314,-381.619789001368
"516",4,"Hippo_R","E",540,0.344004520688987,-478.109678288043
"519",4,"mPFC","E",540,0.0762534219359326,-71.3297015341322
"521",6,"Amy_L","E",540,0.0819923991144935,-90.9220509007498
"522",6,"Amy_R","E",540,0.125025892289215,-204.833513230124
"523",6,"EC_L","E",540,0.854501160162858,-723.772704876715
"524",6,"EC_R","E",540,1.06596396240919,-783.47427800702
"525",6,"Hippo_L","E",540,0.113195995001488,-177.995494635722
"526",6,"Hippo_R","E",540,0.110396028076965,-171.232904626004
"529",6,"mPFC","E",540,0.205716631596907,-339.287787307709
"531",7,"Amy_L","E",547,0.408614917773488,-531.381776653712
"532",7,"Amy_R","E",547,0.484035262808001,-577.708456523289
"533",7,"EC_L","E",547,3.60830514882245,-1127.12501831761
"534",7,"EC_R","E",547,4.26557402561932,-1172.89212199226
"535",7,"Hippo_L","E",547,0.116480748712753,-188.126373211748
"536",7,"Hippo_R","E",547,0.151255624956127,-259.576955585624
"539",7,"mPFC","E",547,0.340857662880855,-481.793980682593
"541",9,"Amy_L","E",547,0.613841427841534,-642.686278246027
"542",9,"Amy_R","E",547,0.24464038500679,-391.080686773195
"543",9,"EC_L","E",547,3.69386179116952,-1133.53429729642
"544",9,"EC_R","E",547,3.68071462969089,-1132.55912197281
"545",9,"Hippo_L","E",547,0.323522873056041,-467.518603648398
"546",9,"Hippo_R","E",547,0.178671563207197,-305.136036404621
"549",9,"mPFC","E",547,0.762724002571449,-702.079430283272
"551",10,"Amy_L","E",547,0.473204453734171,-571.519092147731
